[Hz],FFT[dBm]
8.6669922E+05,-5.36854E+01
8.6791992E+05,-6.56254E+01
8.6914062E+05,-5.48854E+01
8.7036133E+05,-5.72654E+01
8.7158203E+05,-5.77054E+01
8.7280273E+05,-5.46454E+01
8.7402344E+05,-5.14654E+01
8.7524414E+05,-5.31854E+01
8.7646484E+05,-5.89654E+01
8.7768555E+05,-5.65254E+01
8.7890625E+05,-6.07854E+01
8.8012695E+05,-5.65454E+01
8.8134766E+05,-5.10254E+01
8.8256836E+05,-5.27654E+01
8.8378906E+05,-5.28654E+01
8.8500977E+05,-5.26054E+01
8.8623047E+05,-5.51654E+01
8.8745117E+05,-5.25254E+01
8.8867188E+05,-5.47254E+01
8.8989258E+05,-5.66854E+01
8.9111328E+05,-6.25254E+01
8.9233398E+05,-6.67054E+01
8.9355469E+05,-7.14454E+01
8.9477539E+05,-6.45254E+01
8.9599609E+05,-6.50654E+01
8.9721680E+05,-6.07054E+01
8.9843750E+05,-6.31454E+01
8.9965820E+05,-5.90254E+01
9.0087891E+05,-6.25654E+01
9.0209961E+05,-6.26054E+01
9.0332031E+05,-6.12054E+01
9.0454102E+05,-6.00454E+01
9.0576172E+05,-6.01254E+01
9.0698242E+05,-6.17054E+01
9.0820312E+05,-7.88054E+01
9.0942383E+05,-5.84654E+01
9.1064453E+05,-5.26054E+01
9.1186523E+05,-5.31054E+01
9.1308594E+05,-7.19454E+01
9.1430664E+05,-5.64054E+01
9.1552734E+05,-5.47454E+01
9.1674805E+05,-6.52654E+01
9.1796875E+05,-7.58254E+01
9.1918945E+05,-6.39454E+01
9.2041016E+05,-6.02254E+01
9.2163086E+05,-5.10054E+01
9.2285156E+05,-5.16254E+01
9.2407227E+05,-5.42254E+01
9.2529297E+05,-5.29454E+01
9.2651367E+05,-5.52054E+01
9.2773438E+05,-5.53654E+01
9.2895508E+05,-5.08854E+01
9.3017578E+05,-5.01854E+01
9.3139648E+05,-5.64854E+01
9.3261719E+05,-6.37654E+01
9.3383789E+05,-5.98854E+01
9.3505859E+05,-6.01254E+01
9.3627930E+05,-5.48654E+01
9.3750000E+05,-5.65654E+01
9.3872070E+05,-6.11854E+01
9.3994141E+05,-6.09454E+01
9.4116211E+05,-5.92654E+01
9.4238281E+05,-5.63454E+01
